,Brand_Name,Phone,city,Latitude,Longitude,Store_Address,Postal_Code,Country,Address,Open_Hours
0,Ashmore,07 5597 0342,Ashmore,-27.9785290000,153.3807070000,"ASHMORE CITY, SHOP 30 208 CURRUMBURRA ROAD, ASHMORE CITY, QLD 4214, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 7:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 3:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CQqiwRqRRCobEAE",4214,AU,"ASHMORE CITY,  SHOP 30 208 CURRUMBURRA ROAD",Mon-Sun: 8:30 AM to 5:00 PM
1,Bethania,07 32005486,Bethania,-27.9785290000,153.3807070000,"SHOP 3/13-15 GLASSON DRIVE, BETHANIA, QLD 4205, AU, MONDAY - 8:30 AM to 5:30 PM, TUESDAY - 8:30 AM to 5:30 PM, WEDNESDAY - 8:30 AM to 5:30 PM, THURSDAY - 8:30 AM to 7:00 PM, FRIDAY - 8:30 AM to 5:30 PM, SATURDAY - 8:30 AM to 5:00 PM, SUNDAY - 9:00 AM to 5:00 PM",4205,AU,"SHOP 3/13-15 GLASSON DRIVE,  BETHANIA",Mon-Sun: 8:30 AM to 5:00 PM
2,Browns Plains,07 3086 9653,Browns Plains,-27.9785290000,153.3807070000,"18 COMMERCE DRIVE Shop J08, BROWNS PLAINS, QLD 4118, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 7:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 5:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CeRUdTz7VEGVEBA",4118,AU,"18 COMMERCE DRIVE Shop J08,  BROWNS PLAINS",Mon-Sun: 8:30 AM to 5:00 PM
3,Bundaberg,07 4151 6026,Bundaberg,-27.9785290000,153.3807070000,"7 JOHANNA BOULEVARD SHOP 3, KENSINGTON, QLD 4670, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 6:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 5:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CYE5nx90d3csEBA",4670,AU,"7 JOHANNA BOULEVARD SHOP 3,  KENSINGTON",Mon-Sun: 8:30 AM to 5:00 PM
4,Burleigh,07 5520 5231,Burleigh,-27.9785290000,153.3807070000,"197-207 REEDY CREEK ROAD, BURLEIGH HEADS, QLD 4220, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 7:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 4:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CU5o4YlwQr27EBA",4220,AU,"197-207 REEDY CREEK ROAD,  BURLEIGH HEADS",Mon-Sun: 8:30 AM to 5:00 PM
5,Chancellor Park,07 5456 2144,Chancellor Park,-27.9785290000,153.3807070000,"30 CHANCELLOR VILLAGE BOULEVARD SHOP 1, SIPPY DOWNS, QLD 4556, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 7:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 5:00 PM, Click the below link to find us on Google Maps, https://g.page/r/Cbt-gI1JQdG3EBA",4556,AU,"30 CHANCELLOR VILLAGE BOULEVARD SHOP 1,  SIPPY DOWNS",Mon-Sun: 8:30 AM to 5:00 PM
6,Deception Bay,07 3203 1063,Deception Bay,-27.9785290000,153.3807070000,"MARKET SQUARE DECEPTION BAY, CNR DECEPTION BAY ROAD AND BAY AVENUE, DECEPTION BAY, QLD 4508, AU, MONDAY 8:30 AM to 5:00 PM, TUESDAY 8:30 AM to 5:00 PM, WEDNESDAY 8:30 AM to 5:00 PM, THURSDAY 8:30 AM to 6:00 PM, FRIDAY 8:30 AM to 5:00 PM, SATURDAY 9:00 AM to 5:00 PM, SUNDAY 9:00 AM to 3:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CVVZ7Tl_Eft7EBA",4508,AU,"MARKET SQUARE DECEPTION BAY,  CNR DECEPTION BAY ROAD AND BAY AVENUE",Mon-Sun: 8:30 AM to 5:00 PM
7,Gladstone,07 4972 1232,Gladstone,-27.9785290000,153.3807070000,"Shop 16-18 Gladstone Central Shopping Centre 65/69 Dawson Hwy, WEST GLADSTONE, QLD 4680, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 6:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 5:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CbouMRGmBYyjEBA",4680,AU,"Shop 16-18 Gladstone Central Shopping Centre 65/69 Dawson Hwy,  WEST GLADSTONE",Mon-Sun: 8:30 AM to 5:00 PM
8,Helensvale,07 5529 9373,Helensvale,-27.9785290000,153.3807070000,"SHOP 24 HELENSVALE PLAZA, 12 SIR JOHN OVERALL DRIVE, HELENSVALE, QLD 4212, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 7:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 4:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CW2Roa-CqyNAEBA",4212,AU,"SHOP 24 HELENSVALE PLAZA,  12 SIR JOHN OVERALL DRIVE",Mon-Sun: 8:30 AM to 5:00 PM
9,Jindalee,(07) 3376 0961,Jindalee,-27.9785290000,153.3807070000,"Jindalee Home, Shop 31, 185 Sinnamon Road, JINDALEE, QLD 4074, AU, Rebranding shortly - Curently Overflow, stay tuned",4074,AU,"Jindalee Home,  Shop 31",Mon-Sun: 8:30 AM to 5:00 PM
10,Kallangur,07 3880 6053,Kallangur,-27.9785290000,153.3807070000,"SHOP MM1 LILLYBROOK SHOPPING CENTRE, 1 BRICKWORKS ROAD, KALLANGUR, QLD 4503, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 6:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 5:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CTk2yNz1iJeCEBA",4503,AU,"SHOP MM1 LILLYBROOK SHOPPING CENTRE,  1 BRICKWORKS ROAD",Mon-Sun: 8:30 AM to 5:00 PM
11,Kawana Waters,07 5452 6954,Kawana Waters,-27.9785290000,153.3807070000,"134 POINT CARTWRIGHT DRIVE, BUDDINA, QLD 4575, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 7:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 4:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CQXVJeUCWmzVEBA",4575,AU,"134 POINT CARTWRIGHT DRIVE,  BUDDINA",Mon-Sun: 8:30 AM to 5:00 PM
12,Kingaroy,07 4163 6699,Kingaroy,-27.9785290000,153.3807070000,"18 AVOCA STREET, SHOP 4, KINGAROY, QLD 4610, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 7:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 5:00 PM, Click the below link to find us on Google Maps, https://g.page/r/Cd9rGrOYbSHIEBA",4610,AU,"18 AVOCA STREET,  SHOP 4",Mon-Sun: 8:30 AM to 5:00 PM
13,Lismore,02 66228821,Lismore,-27.9785290000,153.3807070000,"HOME CONSORTIUM T03 28 BRUXNER HWY, SOUTH LISMORE, NSW 2480, AU, MONDAY 9:00 AM to 5:30 PM, TUESDAY 9:00 AM to 5:30 PM, WEDNESDAY 9:00 AM to 5:30 PM, THURSDAY 9:00 AM to 9:00 PM, FRIDAY 9:00 AM to 5:30 PM, SATURDAY 9:00AM to 5:00 PM, SUNDAY 9:00 AM to 4:00 PM, Click the below link to find us on Google Maps, https://goo.gl/maps/RYVADgKxm7pR9v4q9",,AU,"HOME CONSORTIUM T03 28 BRUXNER HWY,  SOUTH LISMORE",Mon-Sun: 8:30 AM to 5:00 PM
14,Loganholme,07 3801 2084,Loganholme,-27.9785290000,153.3807070000,"HYPERDOME SHOPPING CENTRE, SHOP 200 MANDEW STREET, LOGANHOLME, QLD 4129, AU, MONDAY 9:00 AM to 5:30 PM, TUESDAY 9:00 AM to 5:30 PM, WEDNESDAY 9:00 AM to 5:30 PM, THURSDAY 9:00 AM to 9:00 PM, FRIDAY 9:00 AM to 5:30 PM, SATURDAY 9:00 AM to 5:00 PM, SUNDAY 9:00 AM to 4:00 PM, Click the below link to find us on Google Maps, https://g.page/r/Ccd7dISqySqYEBA",4129,AU,"HYPERDOME SHOPPING CENTRE,  SHOP 200 MANDEW STREET",Mon-Sun: 8:30 AM to 5:00 PM
15,Maryborough,,Maryborough,-27.9785290000,153.3807070000,"65, shop MM1/85 Bazaar St, Maryborough QLD 4650, MARYBOROUGH, QLD 4650, AU, MONDAY - 8:30 AM to 5:30 PM, TUESDAY - 8:30 AM to 5:30 PM, WEDNESDAY - 8:30 AM to 5:30 PM, THURSDAY - 8:30 AM to 6:00 PM, FRIDAY - 8:30 AM to 5:30 PM, SATURDAY - 8:30 AM to 5:00 PM, SUNDAY - 9:00 AM to 5:00 PM, Click the below link to find us on Google Maps",4650,AU,"65,  shop MM1/85 Bazaar St",Mon-Sun: 8:30 AM to 5:00 PM
16,Mermaid Waters,07 5527 7057,Mermaid Waters,-27.9785290000,153.3807070000,"Q SUPER CENTRE, MARKERI STREET, SHOP B1,, MERMAID WATERS, QLD 4218, AU, MONDAY - 8:30 AM to 5:30 PM, TUESDAY - 8:30 AM to 5:30 PM, WEDNESDAY - 8:30 AM to 5:30 PM, THURSDAY - 8:30 AM to 7:00 PM, FRIDAY - 8:30 AM to 5:30 PM, SATURDAY - 8:30 AM to 5:00 PM, SUNDAY - 9:00 AM to 5:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CaIhAjzPbR8sEBA",4218,AU,"Q SUPER CENTRE,  MARKERI STREET",Mon-Sun: 8:30 AM to 5:00 PM
17,Morayfield,07 5432 9439,Morayfield,-27.9785290000,153.3807070000,"Morayfield Village retail centre Shop 10, 171 Morayfield Rd, MORAYFIELD, QLD 4506, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 6:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 5:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CZmgVDm2HOxDEBA",4506,AU,"Morayfield Village retail centre Shop 10,  171 Morayfield Rd",Mon-Sun: 8:30 AM to 5:00 PM
18,Noosaville,07 5474 0712,Noosaville,-27.9785290000,153.3807070000,"18 THOMAS ST, NOOSAVILLE, QLD 4566, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 7:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 9:00 AM to 5:00 PM, SUNDAY 9:00 AM to 4:00 PM, Click the below link to find us on Google Maps, https://g.page/r/Ce659bpYjbilEBA",4566,AU,"18 THOMAS ST,  NOOSAVILLE",Mon-Sun: 8:30 AM to 5:00 PM
19,Pialba (Hervey Bay),07 4124 1674,Pialba (Hervey Bay),-27.9785290000,153.3807070000,"Pialba Place Shopping Centre Main street, PIALBA, QLD 4655, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 7:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 5:00 PM, https://g.page/r/CfWc6WwQuwUnEAE",4655,AU,"Pialba Place Shopping Centre Main street,  PIALBA",Mon-Sun: 8:30 AM to 5:00 PM
20,Redbank,07 3288 2594,Redbank,-27.9785290000,153.3807070000,"SHOP 3341 REDBANK PLAZA 1 COLLINGWOOD DRIVE, REDBANK, QLD 4301, AU, MONDAY 8:30 AM to 5:30 PM, TUESDAY 8:30 AM to 5:30 PM, WEDNESDAY 8:30 AM to 5:30 PM, THURSDAY 8:30 AM to 8:00 PM, FRIDAY 8:30 AM to 5:30 PM, SATURDAY 8:30 AM to 5:00 PM, SUNDAY 9:00 AM to 4:00 PM, Click the below link to find us on Google Maps, https://g.page/r/CT93_0iZiNfjEBA",4301,AU,"SHOP 3341 REDBANK PLAZA 1 COLLINGWOOD DRIVE,  REDBANK",Mon-Sun: 8:30 AM to 5:00 PM
